headline,date,description
The impact of digitalisation on international tax,"Tuesday, 19 November 2019, 11:54","The digital economy has become increasingly entwined with our physical world, it influences the way we interact, shop, as well as the way we trade and invest. Traditionally, international tax..."
"Dow breaks through 28,000","Monday, 18 November 2019, 14:38","US stocks closed the week at new records on Friday as revived hopes for a US-China trade deal boosted sentiment on Wall Street. The Dow Jones Industrial Average advanced 222.93 points, or 0.8 percent,..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
New Tallinja bike station on campus,"Friday, 15 November 2019, 12:59","Malta Public Transport installed a new e-bike station at the University of Malta, making it easier for students to commute between Valletta and university. Parking has become a persistent issue..."
FinanceMalta’s BlockFinance event to focus on Security Token Offerings,"Friday, 15 November 2019, 12:58",FinanceMalta will be holding its last BlockFinance event for 2019 which will delve into Security Token Offerings. Organised in collaboration with the Malta Blockchain Association and sponsored by...
Emirates SkyCargo hosts event for Malta agents and forwarders,"Friday, 15 November 2019, 12:56","Emirates SkyCargo recently hosted an event for Maltese agents and forwarders at a hotel in Mellieha. Anthie Antoniou, Emirates Cargo manager for Cyprus and Malta, thanked all those who attended..."
Malta International Airport welcomes the first flight from Niš,"Friday, 15 November 2019, 12:55","Malta International Airport welcomed the first flight and passengers from Niš, marking the inauguration of the second direct connection between Malta and Serbia. Flights to Serbia's..."
"The EU, corporate governance, and company directors who are fit for purpose","Friday, 15 November 2019, 12:53","In the wake of the success of Member States sharing their commercial and companies registers, this new set of rules is intended to enable companies to use digital tools in procedures relating to..."
Equiom appoints chief Commercial officer,"Friday, 15 November 2019, 12:52","Equiom, the global professional services provider, has announced the appointment of Gerard Delaney to chief Commercial officer. Gerard is responsible for the overall growth of the business, focusing..."
Workplace Pensions and Default Investment Options discussed during Mapfre MSV Life seminar,"Friday, 15 November 2019, 12:51","Mapfre MSV Life organised a seminar on Workplace Pensions and Default Investment Options during which it presented, for the first time, the Mapfre MSV Life WorkSave Pension scheme to the participants...."
"€83,500 as well as non-financial support awarded to winners of Malta Social Impact Awards","Friday, 15 November 2019, 12:48","Two social initiatives have been awarded funding and non-financial support after winning the Malta Social Impact awards on Saturday, 9 November. FAIE, an initiative by Professor Alexiei Dingli,..."
Fly better on Emirates and discover dazzling Dubai,"Friday, 15 November 2019, 12:45","Fly Emirates to Dubai and enjoy a fun-filled holiday this winter break. Solo travellers and families alike will be awed by the city's many attractive offerings including shopping festivals,..."
HSBC Malta wins international award for CSR Institute’s sustainability awareness raising initiatives,"Friday, 15 November 2019, 12:43","HSBC Malta has won the Public Awareness category at the Greening The Islands awards, held in Palermo, Sicily. The awards recognise best practices in accelerating the sustainability and..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
BOV Pay – The future of payments,"Friday, 15 November 2019, 12:41","The future of payments is here with BOV Pay, the latest technological innovation by Bank of Valletta that enables customers to make in-store payments with their mobile phone. This new way of paying..."
PTL Limited achieves ISO 27001 Information Security Certification,"Friday, 15 November 2019, 10:45","PTL Ltd, the leading information technology services provider, has achieved the International Organisation for Standardisation (ISO) 27001 certification, the most widely recognised information..."
McDonald’s Hosts Communication Day 2019 for Leadership Team,"Wednesday, 13 November 2019, 16:04","In 2020, McDonald's will pursue its programme to modernise its restaurants, introduce additional functionality on the mobile app, and will also deploy McDelivery at selected restaurants. This was..."
First edition of the Malta Sustainability Forum to take place tomorrow,"Wednesday, 13 November 2019, 10:16","Final preparations are under way for the first-ever Malta Sustainability Forum, which will be held tomorrow, 14 November, at the Westin Dragonara Resort. Tickets start at €20, including a..."
President Donald Trump renewed his trade attack on China,"Wednesday, 13 November 2019, 10:03","Maltese market closed in red on Tuesday, with MSE total index ending the session 0.110% lower to 9,831.521 points. Best performer was RS2 Software plc by adding 3.77% to close at 2.20. Most of equity..."
New board for the Malta Association of Risk Management (MARM),"Tuesday, 12 November 2019, 16:13",The Malta Association of Risk Management (MARM) has elected a new Board to serve for two years with three members being elected for the first time. The new Board is composed of Ms Sharon M Cilia...
Salariesinmalta.com to launch freemium model,"Tuesday, 12 November 2019, 14:23","Malta's only research-based online salary benchmarking tool salariesinmalta.com is launching a freemium model as of 2020, with the premium package offering extensive features for in-depth analysis...."
Markets retreat from record highs,"Tuesday, 12 November 2019, 14:21","US markets mostly edged lower except the Dow which managed to squeeze out a slight gain. The Dow Jones Industrial Average moved up around 10 points, or less than 0.1 percent, to 27,691.49 points..."
Stocks climb higher,"Monday, 11 November 2019, 14:13",US markets continued higher and ended the week further into record territory on Friday despite remarks from Donald Trump that he hasn’t agreed to roll back trade tariffs. The Dow Jones...
Markets break records,"Friday, 8 November 2019, 13:28",US markets moved towards fresh records on Thursday as investors were encouraged by reports of progress on the interim trade deal between the US and China. The Dow Jones Industrial Average gained...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Calamatta Cuschieri Group appoints new CFO,"Friday, 8 November 2019, 12:53",Calamatta Cuschieri announces the appointment of Clive Spiteri as Chief Financial Officer. Mr. Spiteri comes from the banking sector and joins the CC Group management team. With over 12 years...
ERA staff raise awareness on breast cancer,"Friday, 8 November 2019, 10:22","Pink pancakes were the highlight at the Environment and Resources Authority, as colleagues organised a social event aimed at raising funds during the month dedicated to breast cancer awareness...."
HSBC Malta’s ‘Here to Help’ programme supports customers to adapt new ways of banking,"Friday, 8 November 2019, 10:20","To support its customers to adapt to new ways of banking, HSBC Malta has launched a campaign called Hawn biex nghin (Here to help). At the centre of this campaign is a team of experienced employees..."
More employees join Bank of Valletta,"Friday, 8 November 2019, 10:20","Bank of Valletta recently welcomed over 40 new employees within its retail network, thus bringing the total workforce close to the 2,000 mark. The new employees followed an onboarding process which..."
Blockchain company is second MIC partner,"Friday, 8 November 2019, 10:19","""After all the hype there has been about blockchain in recent years, now is the time to demystify all the doubts there could still be about this technology. We are very proud to have æternity on..."
Alf. Mizzi & Sons Group holds 25th Group conference,"Friday, 8 November 2019, 10:19","The Alf Mizzi & Sons Group, comprising 29 companies and 211 managers, has this year held its 25th Group Conference at the Hilton Portomaso Suite. The main speaker was Anton Tagliaferro, a..."
MIA McDonald’s manager gets global recognition for performance,"Friday, 8 November 2019, 10:18","Lucia Salama, McDonald's Restaurant manager at Malta International Airport, has won the Ray Kroc award, an accolade that recognises the top performing McDonald's restaurant managers globally. Salama..."
Malta International Airport launches its winter flight schedule,"Friday, 8 November 2019, 10:16","Malta International Airport celebrated the start of winter for the aviation industry with the launch of its new flight schedule for the season, featuring four new routes as well as several route..."
Mapfre Malta employees celebrate Pink October,"Friday, 8 November 2019, 10:15","Mapfre Malta continued to celebrate Pink October by encouraging all employees to come to the office wearing pink in order to further raise awareness for breast cancer. In addition, a number of..."
"RSM Malta focuses on education to mark 
Breast Cancer Awareness month","Friday, 8 November 2019, 10:14","RSM Malta recently marked Breast Cancer Awareness Month, known also as Pink October, with an educational event for its female employees. The event consisted of presentations about facing the fear..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
KFC Malta celebrates Founder’s Week with Brand Chef competition,"Friday, 8 November 2019, 10:13","KFC Malta recently held their annual Brand Chef competition as part of Founder's Week, celebrated globally between 7th and 13th October. This week celebrates Colonel Sanders, who created the..."
Ifs Malta event on the FIAU Revised Implementing Procedures,"Friday, 8 November 2019, 10:12","The Malta Institute of Financial Services in collaboration with the ARQ Group recently organised a specialised event for senior officials in the financial services, financial crime compliance and..."
Monthly Round up Report for October 2019,"Friday, 8 November 2019, 10:10","MSE Index closes October 1.48% lower The MSE Equity Total Return Index fell by 1.48 per cent - partially erasing September's 2.46 per cent gain, closing at 9,861.64 points. Turnover amounted to..."
Absolute majority of enterprises concerned about the banking situation in Malta,"Friday, 8 November 2019, 10:04",GRTU Malta Chambers of SMEs last week organised its annual SME Conference. This year's conference focused on banking and financial issues and GRTU Malta Chamber of SMEs published its survey results....
Most difficult country to do business under a pro-business government,"Thursday, 7 November 2019, 14:21","While the government promotes Malta as a hub for igaming, blockchain, cryptocurrency, medical cannabis, and now Artificial Intelligence, the regulatory and business environment in the country is not..."
Minister José Herrera to address first-ever Malta Sustainability Forum,"Thursday, 7 November 2019, 14:05","The Hon. José Herrera, Minister for The Environment, Sustainable Development And Climate Change, has been announced as the keynote speaker for next week's Malta Sustainability Forum. The..."
Boston management buyout receives regulatory approval,"Thursday, 7 November 2019, 12:05","Boston Multi Family Office has announced the formal completion of its management buyout following regulatory approval. The buy-out was led by Katherine Ellis, who has become Chief Executive..."
Markets continue their advance and Xerox considers HP takeover,"Wednesday, 6 November 2019, 11:43","Maltese market closed in green on Tuesday, with MSE total index ending the session 0.214% higher to 9,839.749 points. Best performer was International Hotel Investments plc by adding 3.66% to close at..."
Markets surge with Dow at fresh record,"Tuesday, 5 November 2019, 12:33","US markets surged higher as optimism about a near-term US-China trade resolution lifted sentiment on Wall Street. The Dow Jones Industrial Average rose 114.75 points, or 0.4 percent, to finish at a..."
2020 VAT changes – The Quick Fixes,"Tuesday, 5 November 2019, 09:51",What does the term 'Quick Fixes' refer to?  The Quick Fixes consist of four VAT measures that have been unanimously approved at European level. These form part of the European Commission's action...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Markets surge on jobs data,"Monday, 4 November 2019, 14:51","US markets closed the week higher on Friday after a strong October jobs report showed the US labour market remains strong, alleviating earlier concerns on slowing economic growth and a weakening..."
"Mothercare UK administration plan threatens 2,500 jobs","Monday, 4 November 2019, 12:12","Baby goods retailer Mothercare has said it plans to call in administrators to the troubled firm's UK business, putting 2,500 jobs at risk, the BBC reports. Mothercare said its 79 UK stores..."
For whom the bell tolls,"Thursday, 31 October 2019, 10:21","Apart from the story we carry on our front page, that cryptocurrency exchange Bittrex has announced that it is moving headquarters from the ""Blockchain Island"" Malta to Liechtenstein, this has not..."
Bank of Valletta staff donate blood to help save lives,"Thursday, 31 October 2019, 10:20",Forty-one BOV employees registered to donate blood during the third Blood Donation Drive organised this year by Bank of Valletta in collaboration with the National Blood Transfusion Service. The...
HSBC Malta announces Green loans,"Thursday, 31 October 2019, 10:18","In a bid to drive more sustainable practices and support the drive to reduce carbon footprints, HSBC Bank Malta is offering Green loans with new competitive interest rates, higher limits and a simpler..."
Mapfre AM joins the RIBI index as an ‘Avant Gardist’ manager in socially responsible investment,"Thursday, 31 October 2019, 10:18","Mapfre's asset management company has been listed in the Avant Gardist category of the H&K Responsible Investment Brand Index, which identifies the European firms in the sector that are most..."
PKF Malta marks Pink October to raise breast cancer awareness,"Thursday, 31 October 2019, 10:17","PKF Malta employees marked Pink October by raising awareness on the risks and prevention of breast cancer in a fun and entertaining way. Besides having all employees dressed with a touch of pink,..."
Melita brief for Edward De Bono Institute students,"Thursday, 31 October 2019, 10:16",Students studying creativity and innovation at the University of Malta's Edward de Bono Institute recently had the opportunity to put their knowledge to the test thanks to Melita Limited. The students...
LifeCycle helps patients’ relatives with twilight shift van,"Thursday, 31 October 2019, 10:16","The Renal Unit at Mater Dei Hospital offers patients receiving treatment for kidney conditions, such as haemodialysis, the opportunity to do such treatments late in the evening, which is more..."
Koiné innovation platform launched at the Malta Innovation Summit 2019 to bring social innovators to,"Thursday, 31 October 2019, 10:15","Social innovators are being invited to visit the newly launched Koiné Platform (www.koine.me/en) and join the ever-growing network of professionals, organisations and innovation..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
"Europa Donna Malta donated €12,000 to University Research Trust","Thursday, 31 October 2019, 10:15","Europa Donna Malta, a non-profit organisation that supports individuals and their families going through breast cancer, has donated €12,000 to the University of Malta's Research Innovation and..."
L-Istrina BOV Piggy Bank campaign launched,"Thursday, 31 October 2019, 10:13","The 16th Edition of the L-Istrina BOV Piggy Bank Campaign was officially launched by Dr George Vella, President of Malta and Deo Scerri and Mario Mallia, Chairman and CEO at Bank of Valletta..."
Employee Well-being Week at Farsons Group,"Thursday, 31 October 2019, 10:12","For the fifth year running Farsons has organised a Well-being Week for its employees across the Group. Held from 14th to 18th October, the activities included daily healthy breakfast, chair massage..."
Vassallo Group Chairman goes back to roots to mark 52nd anniversary leading the group,"Thursday, 31 October 2019, 10:11","In another special moment within Vassallo Group, Chairman Nazzareno Vassallo celebrated his anniversary of leading Vassallo Group for the past 52 years in an innovative way. The event was held in the..."
Atlas Healthcare talks about wellbeing at FHRD conference,"Thursday, 31 October 2019, 10:10","Employee wellbeing took centre stage in the stand set up by Atlas Healthcare during the Foundation for Human Resources Development annual conference, held recently. 'Let's talk about wellbeing'..."
Unlocking business potential through Malta BNI,"Thursday, 31 October 2019, 10:09","The three factors that most BNI members across the world mention when asked how has BNI positively affected their business are increased visibility, credibility, and profitability.  The same..."
Malta Chamber and Kamra tal-Periti agree to collaborate further,"Thursday, 31 October 2019, 10:08","The Malta Chamber of Commerce, Enterprise and Industry and the Kamra tal-Periti have signed a memorandum of understanding on Monday, with the aim to enhance collaboration between the two..."
Insuleur General Assembly and Forum,"Thursday, 31 October 2019, 10:07","On 24 and 25 October the Insuleur General Assembly and Forum were held at the Grand Hotel in Mġarr, Gozo. Foreign delegates from Greece, Spain, France, Italy and Jersey attended the..."
Malta’s total revenue from taxes and social contributions decreases slightly,"Thursday, 31 October 2019, 10:06","In 2018, taxes on production and imports made up the largest part of tax revenue in the EU (accounting for 13.6% of GDP), closely followed by net social contributions (13.3%) and taxes on income and..."
Protecting family businesses means protecting tomorrow’s economy,"Thursday, 31 October 2019, 08:00","The recent report announced by the Malta Developers Association confirmed a trend that was already on the horizon - that the property market has started showing signs of a slow down. ""It was not a..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Boris Johnson’s Conservative Party has a clear lead in UK election polls,"Wednesday, 30 October 2019, 13:13","Market summary: Maltese market closed in green on Tuesday, with MSE total index ending the session 0.089% higher to 9,851.338 points. Best performer was GO plc by adding 2.36% to close at 4.34,..."
Mellieha Bay Hotel closes doors to open new chapter,"Wednesday, 30 October 2019, 12:28",Mellieha Bay Hotel is closing in the coming days in preparation for an exciting project that proposes to transform the 50-year-old hotel into a 5-star resort set in an oasis of greenery. The...
FIMBank sponsors planting of olive trees,"Wednesday, 30 October 2019, 12:27","FIMBank, in collaboration with the sub-committee of Clean Air and Renewable Energy within the remit of the Mosta Local Council, has sponsored the planting of olive trees at Tarġa Battery in..."
Mindfulness session for Atlas employees,"Wednesday, 30 October 2019, 12:26","Atlas Group recently held an introductory session on mindfulness for its employees, as part of a month-long initiative during October during which mental health awareness is being promoted as part of..."
HSBC Malta announces Green Loans,"Wednesday, 30 October 2019, 12:25","In a bid to drive more sustainable practices and support the drive to reduce carbon footprints, HSBC Bank Malta is offering Green Loans with new competitive interest rates, higher limits and a simpler..."
What is transfer pricing?,"Wednesday, 30 October 2019, 12:24","Ever since the launch of BEPS Inclusive Framework, Malta has mostly complied with all the rules for tackling tax avoidance, improving the understanding of international tax rules and ensuring a more..."
Top international sustainability and CSR strategist Ioannis Ioannou to give keynote speech,"Wednesday, 30 October 2019, 11:33","Ioannis Ioannou, Associate Professor of Strategy and Entrepreneurship at London Business School, has been announced as the keynote speaker at the next APS Talk. The event co-organised with C Malta is..."
€100 million mark exceeded as new Merill Strategic Balanced Fund is launched,"Wednesday, 30 October 2019, 09:58","Merill SICAV p.l.c. has reached €100 million in assets under management as a new sub-fund, the Merill Strategic Balanced Fund (USD), with seed money of $10 million was launched. As the..."
BOV Supports Restoration of Late 1800s Gelandra,"Friday, 25 October 2019, 13:03",Bank of Valletta is supporting the restoration of a late 1800s Gilt Monstrance Throne (Gelandra) found at the St Dominic Church of the Annunciation in Birgu. The Gelandra is used such as the...
ECB keeps rates unchanged,"Friday, 25 October 2019, 12:43","Market summary Maltese market closed in green on Thursday, with MSE total index ending the session 0.7659% higher to 9,841.483 points. Best performer was International Hotel Investments plc by..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Malta Sustainability Forum announced,"Thursday, 24 October 2019, 18:58","The general public is invited to attend this dynamic day-long event on 14 November to hear from top local and foreign practitioners within the sustainability sphere, and to learn how to implement..."
Markets trade mixed on earnings: Earnings season rolls on and Tesla surprises Wall Street,"Thursday, 24 October 2019, 13:09",US markets crept higher on Wednesday after investors took in the latest round of corporate earnings from blue-chip companies such as Boeing and Caterpillar. The Dow Jones Industrial Average gained...
"A Budget that leaves 89,000 at risk of poverty","Thursday, 24 October 2019, 11:23","Everybody has now had his shot at it - the 2020 Budget has now been commented about by just about everybody, from the prime minister (multiple times) to his Opposition counterpart (ditto) to the usual..."
Breast Cancer Awareness Day,"Thursday, 24 October 2019, 11:22","On 4 October, the Farsons Group organised a Breast Cancer Awareness Day at its offices. Employees were asked to dress down with a touch of pink against a donation. An awareness presentation was also..."
Harvest sign as new Microsoft Innovation Centre Partners,"Thursday, 24 October 2019, 11:21",Harvest Technology is the first new partner of the Microsoft Innovation Centre. An agreement with Microsoft was signed last week between Microsoft Malta and Harvest Technology which incorporates...
LifeCycle supports renal patients for Lourdes pilgrimage,"Thursday, 24 October 2019, 11:20","For the past nine consecutive years, LifeCycle (Malta) Foundation has been supporting renal patients in joining the Lourdes pilgrimage held every August.   This year, 13 patients,..."
Atlas promoting mental health awareness in October,"Thursday, 24 October 2019, 11:19","Atlas Group employees are dressing down throughout this month to promote mental health awareness. In addition, they are proudly sporting mental health badges all month-long to project the importance..."
Emirates announces special Economy Class offers from Malta,"Thursday, 24 October 2019, 11:18","Dubai-based Emirates is offering travellers from Malta the opportunity to plan early and book their next Economy Class trip to various destinations around the world at reduced prices, from as low as..."
GO hosts European Telecommunications Network Operators’ General Assembly,"Thursday, 24 October 2019, 11:16","GO has hosted ETNO's 58th General Assembly in Malta, which was held over two full days. Considered as ""the foremost voice in Europe for the telecommunication industry"", the European..."
The Shoreline showcases its landmark project at Munich Expo Real,"Thursday, 24 October 2019, 11:15","The Shoreline Residence Ltd participated in Munich Expo Real 2019, an annual global event bringing together specialists from all segments of the property, real estate and investment sectors. The..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
HSBC Malta announces Green loans,"Thursday, 24 October 2019, 11:12","In a bid to drive more sustainable practices and support the drive to reduce carbon footprints, HSBC Bank Malta is offering Green loans with new competitive interest rates, higher limits and a simpler..."
Panta Lesco Limited becomes a Knx partner,"Thursday, 24 October 2019, 11:11","Panta sent a team of eight people consisting of electrical engineers, technicians and estimators for a week-long KNX Basic Certification and Partner course in the United Kingdom at the Home of..."
Commemorative Nature and environment €2 coin issued,"Thursday, 24 October 2019, 11:10","The Central Bank of Malta is issuing the fourth €2 commemorative coin under the From Children in Solidarity programme, which gave schoolchildren the chance to design a coin. The theme of..."
Melita backed NGO seeking to bridge ICT gender gap.,"Thursday, 24 October 2019, 11:09","MissInTech, an NGO seeking to bridge the gender gap in the ICT sector, will be organising its next workshop on 26 October. Titled 'Bats & Bots', this Halloween themed event will be open to..."
Mindfulness session for Atlas employees,"Thursday, 24 October 2019, 11:08","Atlas Group recently held an introductory session on mindfulness for its employees, as part of a month-long initiative during October during which mental health awareness is being promoted as part of..."
Co-Design session sparks innovative discussions on social innovation,"Thursday, 24 October 2019, 11:07","Themes revolving around how one can empower community members to grow and innovate and how dialogue and open discussions can lead to the inception of great ideas, were at the centre of the recently..."
‘Roll up your sleeves and practice what you preach’,"Thursday, 24 October 2019, 11:05",It is clear that we are living in a day and age where people are more conscious about the natural environment. People are more aware of the numerous intrinsic and extrinsic benefits related to...
Bank of Valletta supports Pink October and Movember campaigns with various initiatives,"Thursday, 24 October 2019, 11:04","Bank of Valletta is supporting the nation-wide Pink October and Movember campaigns by undertaking several initiatives amongst its employees. On Tuesday, BOV employees reported to work in casual..."
FinanceMalta kicks off Amsterdam Fintech innovation summit,"Thursday, 24 October 2019, 11:03","The latest developments in Fintech innovation were debated in a two-day summit held on the 17 and 18 October in Amsterdam, which event was sponsored by FinanceMalta and featured a panel of..."
Official talks with top officials of the German Financial Services Regulator,"Thursday, 24 October 2019, 11:01","Minister for Finance Edward Scicluna and parliamentary secretary for Financial Services, Digital Economy and Innovation Silvio Schembri met with Dr Felix Hufeld, president and Dr Elisabeth Roegele,..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
The MFSA launches a Consultation Document proposing reforms to the CSP Framework,"Thursday, 24 October 2019, 11:01",MFSA      publishes Consultation Document on raising the bar for Company Service      Providers (CSPs) Document      proposes revisiting the regulatory framework for CSPs extending its scope     ...
Minister for Finance in Washington for IMF/World Bank annual meetings,"Thursday, 24 October 2019, 11:00","Minister for Finance Edward Scicluna attended the 2019 International Monetary Fund and the World Bank Group annual meetings in Washington, USA. These annual meetings serve as a platform for finance..."
RSM Malta celebrates International RSM World Day,"Thursday, 24 October 2019, 10:58","RSM Malta celebrated its annual International RSM World Day on 3 October with a full day packed with activities, with the highlights being a treasure hunt and a reception in Mdina for its..."
The Mediterranean region needs to build 600.000 households annually by 2025,"Thursday, 24 October 2019, 10:58","•  Almost 500 million people live in the Mediterranean, 60% of which are under the age of 30. A population that will reach 572 million by 2030. •  The real estate sector..."
Prime site St Julian's HSBC branch up for sale,"Thursday, 24 October 2019, 10:56","The HSBC branch in St Julian's has been put up for sale, less than a fortnight after the bank announced eight branches will shut down by the end of the year.  The decision to sell..."
Bridging the gap between academia and industry to further sustain economic and social development,"Thursday, 24 October 2019, 10:55","Malta Enterprise is taking a leading role in bringing together academia and industry, in order to nourish further collaboration and synergies between the key stakeholders. To this end, Malta..."
Orim Energy expands bunker supply to Malta,"Thursday, 24 October 2019, 10:54","Dutch marine fuels supplier Orim Energy has expanded its operations to Malta, where it is offering 0.5pc sulphur fuel oil. The supplier made its first delivery on 17 October, having entered the..."
Malta Gaming Authority publishes post-Brexit operator guidelines,"Thursday, 24 October 2019, 10:53",The Malta Gaming Authority has issued guidance on the action that operators need to take in readiness for the United Kingdom leaving the European Union.  Current rules state that Maltese e-gaming...
Believing in Sustainable Transport,"Thursday, 24 October 2019, 09:36","And for some years now, we have made sure to include a number of measures that foster our vision for a sustainable and forward-looking transport sector. It would be both naive and irresponsible to..."
Justin Trudeau wins second term in Canada election,"Wednesday, 23 October 2019, 13:35","Maltese market closed in green on Tuesday, with MSE total index ending the session 0.479% higher to 9,780.095 points. Best performer was GO plc by adding 5.34% to close at 4.34, followed by PG plc and..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
How table service is redefining the McDonald’s experience,"Tuesday, 22 October 2019, 15:04",Table service is rapidly revolutionising the McDonald's experience as the brand deploys one of its latest eat-in features across its network. Maltese customers have responded positively to table...
FIMBank sponsors the planting of olive trees,"Tuesday, 22 October 2019, 12:06","FIMBank, in collaboration with the sub-committee of Clean Air and Renewable Energy, within the remit of the Mosta Local Council, has sponsored the planting of olive trees at Tarġa Battery in..."
Should Malta follow the US in lowering its fiscal drag?,"Tuesday, 22 October 2019, 10:44",On 31 July the US Federal Reserve System reduced interest rates for the first time in more than a decade due to concern over global growth and uncertainty in the trade. The last time this happened was...
eCabs Goes Pink for Breast Awareness,"Tuesday, 22 October 2019, 09:15",Five eCabs vehicles have been wrapped in a distinct pink colour as the company once again collaborates with the Marigold Foundation's annual Pink October initiatives to promote Breast Cancer...
Harvest sign as new Microsoft Innovation Centre partners,"Tuesday, 22 October 2019, 09:05",Harvest Technology is the first new partner of the Microsoft Innovation Centre. An agreement with Microsoft was signed this week between Microsoft Malta and Harvest Technology which incorporates...
Boris Johnson agrees Brexit deal with EU,"Friday, 18 October 2019, 12:07","Maltese market closed in green on Thursday, with MSE total index ending the session 0.395% higher to 9,749.276 points. Best performer was Malta International Airport plc by jumping 3.47% to close at..."
MaltaPost launches the 20th Maltex Philatelic Exhibition and Collectors’ Fair,"Thursday, 17 October 2019, 20:25","MaltaPost is proud to organize once again the Maltex Philatelic Exhibition and Collectors' Fair which will take place between 22 and 24 October 2019 at the Casino Maltese, Valletta. This exhibition,..."
Budget 2020 – Inkomplu Nikbru Flimkien,"Thursday, 17 October 2019, 14:51","""The 2020 budget is testament to this Government's work towards making our society grow, as a democracy and also culturally,"" stated Minister for Justice, Culture and Local Government Owen Bonnici,..."
Banking troubles,"Thursday, 17 October 2019, 12:16",The recent days have seen the two main banks in Malta face serious difficulties while a third bank has announced it will not offer correspondent services to Maltese investors.  HSBC came up...
United Group launches United for health initiative,"Thursday, 17 October 2019, 12:15",United Group launched its United for health initiative by marking Pink October with a healthy team breakfast for all the employees of United Group and its subsidiary companies. This event was meant to...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Misco publishes sixth annual Misco survey on HR developments in Malta,"Thursday, 17 October 2019, 12:14","Salary demands is main HR challenge for 75% of employers Local employers are being faced with a three-pronged challenge at this point in time namely: a demand for higher salaries from employees,..."
New CEO for Burmarrad Group,"Thursday, 17 October 2019, 12:13",Burmarrad Group has announced that Sharon Camilleri has been appointed as the new chief executive officer. The appointment came into effect on 9 October and was met with unanimous...
